Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[10-10],5m 41s,10.3.0.22,6709,files,40,40,0.064,1090,20,0,0,0
[11-11],5m 42s,10.3.0.22,6710,files,740,740,0.967,446.784,740,0,0,0
[12-12],5m 43s,10.3.0.35,6743,files,780,780,0.958,421.205,780,0,0,0
[13-13],5m 44s,10.3.0.35,6744,files,760,760,0.956,432.921,760,0,0,0
[14-14],5m 41s,10.3.0.25,6735,files,780,780,0.984,430.205,780,0,0,0
[15-15],5m 41s,10.3.0.31,6727,files,760,760,0.996,446.921,760,0,0,0
[16-16],5m 41s,10.3.0.31,6725,files,720,720,0.988,443.158,760,0,0,0
[17-17],5m 41s,10.3.0.31,6726,files,760,760,0.975,437.684,760,0,0,0
[18-18],5m 41s,10.3.0.31,6725,files,780,780,0.977,427.308,780,0,0,0
[19-19],5m 41s,10.3.0.22,6712,files,740,740,0.993,445.395,760,0,0,0
[20-20],5m 41s,10.3.0.22,6711,files,780,780,0.994,423.8,800,0,0,0
[21-21],5m 43s,10.3.0.35,6741,files,780,780,0.949,417.513,780,0,0,0
[22-22],5m 43s,10.3.0.35,6743,files,800,800,0.955,420.077,780,0,0,0
[23-23],5m 41s,10.3.0.25,6736,files,800,800,0.963,420.872,780,0,0,0
[24-24],5m 41s,10.3.0.25,6734,files,800,800,0.993,423.45,800,0,0,0
[25-25],5m 41s,10.3.0.25,6734,files,800,800,0.991,422.625,800,0,0,0
[26-26],5m 47s,10.3.0.30,6717,files,760,760,0.954,435.632,760,0,0,0
[27-27],5m 41s,10.3.0.31,6728,files,760,760,0.968,434.368,760,0,0,0
[28-28],5m 42s,10.3.0.22,6710,files,760,760,0.967,447.081,740,0,0,0
[29-29],5m 41s,10.3.0.22,6711,files,780,780,0.963,421.128,780,0,0,0